source_family,conference,year,committee_type,source_url,final_url,status,local_html_path,rows_found
HotCRP reviewer page,POPL,2025,,https://popl25.hotcrp.com/users/pc,https://popl2025.hotcrp.com/users/pc,fetched,step_1_data/raw/popl/hotcrp_htmls/popl2025_hotcrp_2026-06-09.html,83
Public PC/review page,ICFP,2017,,https://icfp17.sigplan.org/committee/icfp-2017-papers-program-committee,https://icfp17.sigplan.org/committee/icfp-2017-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2017_pc_2026-06-09.html,23
Public PC/review page,ICFP,2018,,https://icfp18.sigplan.org/committee/icfp-2018-papers-program-committee,https://icfp18.sigplan.org/committee/icfp-2018-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2018_pc_2026-06-09.html,18
Public PC/review page,ICFP,2019,,https://icfp19.sigplan.org/committee/icfp-2019-papers-program-committee,https://icfp19.sigplan.org/committee/icfp-2019-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2019_pc_2026-06-09.html,20
Public PC/review page,ICFP,2020,,https://icfp20.sigplan.org/committee/icfp-2020-papers-program-committee,https://icfp20.sigplan.org/committee/icfp-2020-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2020_pc_2026-06-09.html,17
Public PC/review page,ICFP,2021,,https://icfp21.sigplan.org/committee/icfp-2021-papers-program-committee,https://icfp21.sigplan.org/committee/icfp-2021-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2021_pc_2026-06-09.html,30
Public PC/review page,ICFP,2022,,https://icfp22.sigplan.org/committee/icfp-2022-papers-program-committee,https://icfp22.sigplan.org/committee/icfp-2022-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2022_pc_2026-06-09.html,42
Public PC/review page,ICFP,2023,,https://icfp23.sigplan.org/committee/icfp-2023-papers-program-committee,https://icfp23.sigplan.org/committee/icfp-2023-papers-program-committee,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2023_pc_2026-06-09.html,54
Public PC/review page,ICFP,2024,,https://icfp24.sigplan.org/committee/icfp-2024-papers-icfp-papers-and-events,https://icfp24.sigplan.org/committee/icfp-2024-papers-icfp-papers-and-events,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2024_pc_2026-06-09.html,51
Public PC/review page,ICFP,2025,,https://icfp25.sigplan.org/committee/icfp-2025-papers-icfp-papers-and-events,https://icfp25.sigplan.org/committee/icfp-2025-papers-icfp-papers-and-events,fetched,step_1_data/raw/icfp/researchr_pc_htmls/icfp2025_pc_2026-06-09.html,63
Public PC/review page,OOPSLA,2017,,https://2017.splashcon.org/committee/splash-2017-oopsla-program-committee,https://2017.splashcon.org/committee/splash-2017-oopsla-program-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2017_pc_2026-06-09.html,31
Public PC/review page,OOPSLA,2018,,https://2018.splashcon.org/committee/splash-2018-oopsla-committee,https://2018.splashcon.org/committee/splash-2018-oopsla-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2018_pc_2026-06-09.html,30
Public PC/review page,OOPSLA,2019,,https://2019.splashcon.org/committee/splash-2019-oopsla-review-committee,https://2019.splashcon.org/committee/splash-2019-oopsla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2019_pc_2026-06-09.html,32
Public PC/review page,OOPSLA,2020,,https://2020.splashcon.org/committee/splash-2020-oopsla-review-committee,https://2020.splashcon.org/committee/splash-2020-oopsla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2020_pc_2026-06-09.html,32
Public PC/review page,OOPSLA,2021,,https://2021.splashcon.org/committee/splash-2021-oopsla-review-committee,https://2021.splashcon.org/committee/splash-2021-oopsla-review-committee,fetched,step_1_data/raw/oopsla/researchr_pc_htmls/oopsla2021_pc_2026-06-09.html,51
