conference,conference_year,doi,dblp_title,dblp_url
PLDI,2018,https://doi.org/10.1145/3192366.3192400,Bayonet: probabilistic inference for networks.,https://dblp.org/rec/conf/pldi/GehrMTVWV18
PLDI,2018,https://doi.org/10.1145/3192366.3192367,Persistency for synchronization-free regions.,https://dblp.org/rec/conf/pldi/GogteDWNCW18
PLDI,2018,https://doi.org/10.1145/3192366.3192381,Certified concurrent abstraction layers.,https://dblp.org/rec/conf/pldi/GuSKWKS0CR18
PLDI,2018,https://doi.org/10.1145/3192366.3192387,Automated clustering and program repair for introductory programming assignments.,https://dblp.org/rec/conf/pldi/GulwaniRZ18
PLDI,2018,https://doi.org/10.1145/3192366.3192397,GPU code optimization using abstract kernel emulation and sensitivity analysis.,https://dblp.org/rec/conf/pldi/HongSKRKPRS18
PLDI,2018,https://doi.org/10.1145/3192366.3192377,Crellvm: verified credible compilation for LLVM.,https://dblp.org/rec/conf/pldi/KangKSLPSKCCHY18
PLDI,2018,https://doi.org/10.1145/3192366.3192386,Enhancing computation-to-core assignment with physical location information.,https://dblp.org/rec/conf/pldi/KislalKTKJ18
PLDI,2018,https://doi.org/10.1145/3192366.3192379,Spatial: a language and compiler for application accelerators.,https://dblp.org/rec/conf/pldi/KoeplingerFPZHF18
PLDI,2018,https://doi.org/10.1145/3192366.3192410,Accelerating search-based program synthesis using learned probabilistic models.,https://dblp.org/rec/conf/pldi/LeeHAN18
PLDI,2018,https://doi.org/10.1145/3192366.3192371,Mapping spiking neural networks onto a manycore neuromorphic architecture.,https://dblp.org/rec/conf/pldi/LinWCLDW18
PLDI,2018,https://doi.org/10.1145/3192366.3192390,D4: fast concurrency debugging with parallel differential analysis.,https://dblp.org/rec/conf/pldi/LiuH18
PLDI,2018,https://doi.org/10.1145/3192366.3192380,iReplayer: in-situ and identical record-and-replay for multithreaded applications.,https://dblp.org/rec/conf/pldi/LiuSWTL18
PLDI,2018,https://doi.org/10.1145/3192366.3192419,CUBA: interprocedural Context-UnBounded Analysis of concurrent programs.,https://dblp.org/rec/conf/pldi/LiuW18
PLDI,2018,https://doi.org/10.1145/3192366.3192409,Probabilistic programming with programmable inference.,https://dblp.org/rec/conf/pldi/MansinghkaSHRCR18
PLDI,2018,https://doi.org/10.1145/3192366.3192375,MixT: a language for mixing consistency in geodistributed transactions.,https://dblp.org/rec/conf/pldi/MilanoM18
PLDI,2018,https://doi.org/10.1145/3192366.3192413,Partial control-flow linearization.,https://dblp.org/rec/conf/pldi/MollH18
PLDI,2018,https://doi.org/10.1145/3192366.3192394,Bounded expectations: resource analysis for probabilistic programs.,https://dblp.org/rec/conf/pldi/NgoC018
PLDI,2018,https://doi.org/10.1145/3192366.3192374,"HHVM JIT: a profile-guided, region-based compiler for PHP and Hack.",https://dblp.org/rec/conf/pldi/Ottoni18
PLDI,2018,https://doi.org/10.1145/3192366.3192403,Inferring crypto API rules from code changes.,https://dblp.org/rec/conf/pldi/PaletovTRV18
PLDI,2018,https://doi.org/10.1145/3192366.3192407,Verifying that web pages have accessible layout.,https://dblp.org/rec/conf/pldi/PanchekhaGETK18
PLDI,2018,https://doi.org/10.1145/3192366.3192368,CURD: a dynamic CUDA race detector.,https://dblp.org/rec/conf/pldi/PengGD18
PLDI,2018,https://doi.org/10.1145/3192366.3192398,Inferring type rules for syntactic sugar.,https://dblp.org/rec/conf/pldi/PombrioK18
PLDI,2018,https://doi.org/10.1145/3192366.3192417,User-guided program reasoning using Bayesian inference.,https://dblp.org/rec/conf/pldi/RaghothamanKHN18
PLDI,2018,https://doi.org/10.1145/3192366.3192385,"High-coverage, unbounded sound predictive race detection.",https://dblp.org/rec/conf/pldi/RoemerGB18
PLDI,2018,https://doi.org/10.1145/3192366.3192411,Finding root causes of floating point error.,https://dblp.org/rec/conf/pldi/Sanchez-SternPL18
PLDI,2018,https://doi.org/10.1145/3192366.3192389,Guarded impredicative polymorphism.,https://dblp.org/rec/conf/pldi/SerranoHVJ18
PLDI,2018,https://doi.org/10.1145/3192366.3192418,Pinpoint: fast and precise sparse value flow analysis for million lines of code.,https://dblp.org/rec/conf/pldi/ShiXWZFZ18
PLDI,2018,https://doi.org/10.1145/3192366.3192420,To-many or to-one? all-in-one! efficient purely functional multi-maps with type-heterogeneous hash-tries.,https://dblp.org/rec/conf/pldi/SteindorferV18
PLDI,2018,https://doi.org/10.1145/3192366.3192414,Modularity for decidability of deductive verification with applications to distributed systems.,https://dblp.org/rec/conf/pldi/TaubeLMPSSWW18
PLDI,2018,https://doi.org/10.1145/3192366.3192393,"SWOOP: software-hardware co-design for non-speculative, execute-ahead, in-order cores.",https://dblp.org/rec/conf/pldi/TranJCKSK18
PLDI,2018,https://doi.org/10.1145/3192366.3192376,BLeak: automatically debugging memory leaks in web applications.,https://dblp.org/rec/conf/pldi/VilkB18
PLDI,2018,https://doi.org/10.1145/3192366.3192408,PMAF: an algebraic framework for static analysis of probabilistic programs.,https://dblp.org/rec/conf/pldi/WangHR18
PLDI,2018,https://doi.org/10.1145/3192366.3192384,"Search, align, and repair: data-driven feedback generation for introductory programming exercises.",https://dblp.org/rec/conf/pldi/WangSS18
PLDI,2018,https://doi.org/10.1145/3192366.3192416,A data-driven CHC solver.,https://dblp.org/rec/conf/pldi/ZhuMJ18
PLDI,2019,https://doi.org/10.1145/3314221.3314588,Synthesizing database programs for schema refactoring.,https://dblp.org/rec/conf/pldi/0001DSD19
PLDI,2019,https://doi.org/10.1145/3314221.3314591,Using active learning to synthesize models of applications that access databases.,https://dblp.org/rec/conf/pldi/0001R19
PLDI,2019,https://doi.org/10.1145/3314221.3314649,Verification of programs under the release-acquire semantics.,https://dblp.org/rec/conf/pldi/AbdullaAAK19
PLDI,2019,https://doi.org/10.1145/3314221.3314614,Optimization and abstraction: a synergistic approach for analyzing neural network robustness.,https://dblp.org/rec/conf/pldi/AndersonPDC19
PLDI,2019,https://doi.org/10.1145/3314221.3314641,Learning stateful preconditions modulo a test generator.,https://dblp.org/rec/conf/pldi/AstorgaMSWX19
PLDI,2019,https://doi.org/10.1145/3314221.3314615,Generating piecewise-regular code from irregular structures.,https://dblp.org/rec/conf/pldi/AugustineSP019
PLDI,2019,https://doi.org/10.1145/3314221.3314594,Genie: a generator of natural language semantic parsers for virtual assistant commands.,https://dblp.org/rec/conf/pldi/CampagnaXMSL19
PLDI,2019,https://doi.org/10.1145/3314221.3314605,FaCT: a DSL for timing-sensitive computation.,https://dblp.org/rec/conf/pldi/CauligiSJBWRGBJ19
PLDI,2019,https://doi.org/10.1145/3314221.3314585,Argosy: verifying layered storage systems with recovery refinement.,https://dblp.org/rec/conf/pldi/ChajedTKZ19
PLDI,2019,https://doi.org/10.1145/3314221.3314648,Scalable taint specification inference with big code.,https://dblp.org/rec/conf/pldi/ChibotaruBRV19
PLDI,2019,https://doi.org/10.1145/3314221.3314587,Reusable inline caching for JavaScript performance.,https://dblp.org/rec/conf/pldi/ChoiST19
PLDI,2019,https://doi.org/10.1145/3314221.3314596,Semantic program alignment for equivalence checking.,https://dblp.org/rec/conf/pldi/ChurchillP0A19
PLDI,2019,https://doi.org/10.1145/3314221.3314603,Bidirectional type checking for relational properties.,https://dblp.org/rec/conf/pldi/CicekQBG019
PLDI,2019,https://doi.org/10.1145/3314221.3314642,Gen: a general-purpose probabilistic programming system with programmable inference.,https://dblp.org/rec/conf/pldi/Cusumano-Towner19
PLDI,2019,https://doi.org/10.1145/3314221.3314601,A complete formal semantics of x86-64 user-level instruction set architecture.,https://dblp.org/rec/conf/pldi/Dasgupta0KAR19
PLDI,2019,https://doi.org/10.1145/3314221.3314628,CHET: an optimizing compiler for fully-homomorphic neural-network inferencing.,https://dblp.org/rec/conf/pldi/DathathriS0LLMM19
PLDI,2019,https://doi.org/10.1145/3314221.3314598,Low-latency graph streaming using compressed purely-functional trees.,https://dblp.org/rec/conf/pldi/DhulipalaBS19
PLDI,2019,https://doi.org/10.1145/3314221.3314640,Unsupervised learning of API aliasing specifications.,https://dblp.org/rec/conf/pldi/EberhardtSRV19
PLDI,2019,https://doi.org/10.1145/3314221.3314612,Modular divide-and-conquer parallelization of nested loops.,https://dblp.org/rec/conf/pldi/FarzanN19
PLDI,2019,https://doi.org/10.1145/3314221.3314633,Scenic: a language for scenario specification and scene generation.,https://dblp.org/rec/conf/pldi/FremontDGYSS19
PLDI,2019,https://doi.org/10.1145/3314221.3314632,Effective floating-point analysis via weak-distance minimization.,https://dblp.org/rec/conf/pldi/FuS19
PLDI,2019,https://doi.org/10.1145/3314221.3314590,Simple and precise static analysis of untrusted Linux kernel extensions.,https://dblp.org/rec/conf/pldi/GershuniAGNNRRS19
PLDI,2019,https://doi.org/10.1145/3314221.3314597,Compiling KB-sized machine learning models to tiny IoT devices.,https://dblp.org/rec/conf/pldi/GopinathGSS19
