analysis_group,sample_key,sample_label,split_kind,cohort_key,cohort_label,event_time,event_units,defined_delta_shares,zero_total_citation_years,median_career_age_in_sample,mean_delta_source_share_pp,delta_ci_low_pp,delta_ci_high_pp
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,35,32,1,16.0,-5.518,-19.867,8.21
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,35,30,4,16.0,-7.689,-21.871,4.861
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,35,33,0,16.0,-6.158,-18.453,4.641
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,29,26,3,16.0,0.0,0.0,0.0
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,29,25,2,16.0,1.513,-13.983,17.085
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,29,26,1,16.0,1.502,-9.452,12.786
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,29,25,2,16.0,0.17,-12.984,13.774
ICFP,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,29,26,0,16.0,-16.11,-31.604,-1.943
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,63,53,10,13.0,0.0,0.0,0.0
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,63,47,9,13.0,0.387,-11.259,11.851
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,63,51,4,13.0,3.548,-7.193,13.638
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,63,49,6,13.0,-0.904,-9.424,7.238
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,2,63,53,1,13.0,-6.296,-16.094,2.563
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,20,14,6,13.0,0.0,0.0,0.0
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,20,12,3,13.0,-0.044,-25.813,25.193
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,0,20,13,2,13.0,9.951,-16.145,34.179
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,1,20,13,1,13.0,0.755,-11.382,12.496
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,20,14,1,13.0,-12.657,-36.532,8.262
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,29,27,2,13.0,0.0,0.0,0.0
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,29,24,4,13.0,-7.572,-21.187,5.918
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,0,29,26,1,13.0,-2.515,-17.784,11.748
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,1,29,25,3,13.0,-2.136,-16.987,10.924
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,2,29,27,0,13.0,-3.628,-17.291,8.172
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,14,12,2,13.0,0.0,0.0,0.0
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,14,11,2,13.0,18.223,-7.185,43.401
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,14,12,1,13.0,9.747,-10.988,26.417
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,14,11,2,13.0,-0.063,-18.186,14.621
ICFP,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,14,12,0,13.0,-4.879,-21.556,9.54
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,26,20,6,11.0,0.0,0.0,0.0
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,26,16,6,11.0,-0.162,-17.856,17.107
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,26,18,3,11.0,6.628,-10.916,24.005
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,26,18,4,11.0,0.788,-13.782,14.916
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,2,26,20,1,11.0,-2.872,-16.568,11.242
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,9,6,3,11.0,0.0,0.0,0.0
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,9,4,2,11.0,10.208,-33.75,41.875
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,0,9,5,1,11.0,17.519,-26.017,65.344
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,1,9,6,0,11.0,-4.815,-26.86,13.376
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_0_9,Career age 0-9 years,2,9,6,1,11.0,-11.574,-30.0,4.378
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,11,10,1,11.0,0.0,0.0,0.0
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,11,8,3,11.0,2.161,-19.699,26.939
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,0,11,9,1,11.0,10.571,-1.419,24.187
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,1,11,9,2,11.0,13.791,-3.345,29.514
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_10_19,Career age 10-19 years,2,11,10,0,11.0,8.76,-10.818,26.786
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,6,4,2,11.0,0.0,0.0,0.0
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,6,4,1,11.0,-15.178,-50.893,13.645
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,0,6,4,1,11.0,-15.855,-54.364,18.052
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,1,6,3,2,11.0,-27.015,-66.667,14.195
ICFP,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,career_age_20_plus,Career age 20+ years,2,6,4,0,11.0,-18.9,-55.06,19.843
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-2,21,20,1,15.0,0.0,0.0,0.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,-1,21,19,2,15.0,-9.296,-29.602,12.878
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,0,21,19,1,15.0,-2.86,-15.864,10.971
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,1,21,18,2,15.0,3.551,-10.324,17.219
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,all_in_sample,All in sample,2,21,20,1,15.0,-14.057,-25.989,-3.236
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,3,3,0,15.0,0.0,0.0,0.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,3,2,1,15.0,35.38,-29.24,100.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,0,3,3,0,15.0,23.704,-5.556,66.667
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,1,3,2,1,15.0,22.222,0.0,44.444
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_0_9,Career age 0-9 years,2,3,3,0,15.0,-21.51,-47.863,0.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,12,12,0,15.0,0.0,0.0,0.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,12,12,0,15.0,-8.66,-29.543,17.517
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,0,12,12,0,15.0,-0.692,-15.026,15.309
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,1,12,11,1,15.0,0.167,-17.116,16.045
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_10_19,Career age 10-19 years,2,12,12,0,15.0,-14.011,-29.024,0.874
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,6,5,1,15.0,0.0,0.0,0.0
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,6,5,1,15.0,-28.693,-66.991,4.004
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,0,6,4,1,15.0,-29.289,-42.905,-19.112
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,1,6,5,0,15.0,3.526,-30.433,33.594
OOPSLA,all_balanced_event_units,All isolated balanced event units,fixed_buckets,career_age_20_plus,Career age 20+ years,2,6,5,1,15.0,-9.694,-33.784,10.849
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-2,13,12,1,16.0,0.0,0.0,0.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,-1,13,11,2,16.0,-24.095,-50.088,6.03
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,0,13,11,1,16.0,-6.42,-24.299,13.276
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,1,13,11,1,16.0,-8.203,-26.315,10.207
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,all_in_sample,All in sample,2,13,12,1,16.0,-18.216,-34.313,-2.597
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-2,3,3,0,16.0,0.0,0.0,0.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,-1,3,2,1,16.0,35.38,-29.24,100.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,0,3,3,0,16.0,23.704,-5.556,66.667
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,1,3,2,1,16.0,22.222,0.0,44.444
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_0_9,Career age 0-9 years,2,3,3,0,16.0,-21.51,-47.863,0.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-2,6,6,0,16.0,0.0,0.0,0.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,-1,6,6,0,16.0,-29.345,-50.356,-7.87
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,0,6,6,0,16.0,-10.675,-27.73,11.757
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,1,6,6,0,16.0,-16.053,-35.943,9.595
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_10_19,Career age 10-19 years,2,6,6,0,16.0,-21.064,-47.498,4.411
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-2,4,3,1,16.0,0.0,0.0,0.0
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,-1,4,3,1,16.0,-53.245,-100.0,-13.068
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,0,4,2,1,16.0,-38.839,-50.0,-27.679
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,1,4,3,0,16.0,-12.786,-52.941,14.583
OOPSLA,no_earlier_main_pc_evidence,No earlier main-PC evidence found,fixed_buckets,career_age_20_plus,Career age 20+ years,2,4,3,1,16.0,-9.226,-50.0,22.321
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-2,6,6,0,15.0,0.0,0.0,0.0
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,-1,6,5,1,15.0,-10.701,-49.547,51.111
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,0,6,6,0,15.0,-4.524,-33.073,30.801
OOPSLA,no_earlier_broad_service_evidence,No earlier service,fixed_buckets,all_in_sample,All in sample,1,6,5,1,15.0,-30.36,-49.413,-10.588
