plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,source_group,citation_count,total_citations,source_share,source_share_pct,pc_status_for_source
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,1,2025,PLDI,5.0,20.0,0.25,25.0,0.0
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,ICFP,,,,,
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,POPL,,,,,
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,OOPSLA,,,,,
1,clementpitclaudel,Clément Pit-Claudel,PLDI,PLDI,2024,PLDI 2024,2,2026,PLDI,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,ICFP,3.0,12.0,0.25,25.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,POPL,4.0,12.0,0.3333333333333333,33.33333333333333,1.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,OOPSLA,2.0,12.0,0.16666666666666666,16.666666666666664,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-2,2023,PLDI,3.0,12.0,0.25,25.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,ICFP,1.0,20.0,0.05,5.0,1.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,POPL,4.0,20.0,0.2,20.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,OOPSLA,2.0,20.0,0.1,10.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,-1,2024,PLDI,13.0,20.0,0.65,65.0,1.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,ICFP,1.0,20.0,0.05,5.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,POPL,5.0,20.0,0.25,25.0,1.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,OOPSLA,9.0,20.0,0.45,45.0,1.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,0,2025,PLDI,5.0,20.0,0.25,25.0,0.0
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,ICFP,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,POPL,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,OOPSLA,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,1,2026,PLDI,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,ICFP,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,POPL,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,OOPSLA,,,,,
2,clementpitclaudel,Clément Pit-Claudel,OOPSLA_COMBINED,OOPSLA combined,2025,OOPSLA 2025,2,2027,PLDI,,,,,
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,ICFP,1.0,30.0,0.03333333333333333,3.3333333333333335,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,POPL,19.0,30.0,0.6333333333333333,63.33333333333333,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,OOPSLA,5.0,30.0,0.16666666666666666,16.666666666666664,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,PLDI,5.0,30.0,0.16666666666666666,16.666666666666664,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,ICFP,2.0,31.0,0.06451612903225806,6.451612903225806,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,POPL,10.0,31.0,0.3225806451612903,32.25806451612903,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,OOPSLA,8.0,31.0,0.25806451612903225,25.806451612903224,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,PLDI,11.0,31.0,0.3548387096774194,35.483870967741936,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,ICFP,8.0,37.0,0.21621621621621623,21.62162162162162,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,POPL,2.0,37.0,0.05405405405405406,5.405405405405405,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,OOPSLA,20.0,37.0,0.5405405405405406,54.054054054054056,1.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,PLDI,7.0,37.0,0.1891891891891892,18.91891891891892,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,ICFP,3.0,36.0,0.08333333333333333,8.333333333333332,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,POPL,5.0,36.0,0.1388888888888889,13.88888888888889,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,OOPSLA,10.0,36.0,0.2777777777777778,27.77777777777778,1.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,PLDI,18.0,36.0,0.5,50.0,1.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,ICFP,0.0,17.0,0.0,0.0,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,POPL,6.0,17.0,0.35294117647058826,35.294117647058826,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,OOPSLA,6.0,17.0,0.35294117647058826,35.294117647058826,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,PLDI,5.0,17.0,0.29411764705882354,29.411764705882355,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,ICFP,2.0,31.0,0.06451612903225806,6.451612903225806,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,POPL,10.0,31.0,0.3225806451612903,32.25806451612903,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,OOPSLA,8.0,31.0,0.25806451612903225,25.806451612903224,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,PLDI,11.0,31.0,0.3548387096774194,35.483870967741936,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,ICFP,8.0,37.0,0.21621621621621623,21.62162162162162,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,POPL,2.0,37.0,0.05405405405405406,5.405405405405405,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,OOPSLA,20.0,37.0,0.5405405405405406,54.054054054054056,1.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,PLDI,7.0,37.0,0.1891891891891892,18.91891891891892,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,ICFP,3.0,36.0,0.08333333333333333,8.333333333333332,0.0
