plot_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,selected_source_conferences,selected_conference_citations,all_studied_conference_citations,source_share,source_share_pct,baseline_source_share,baseline_source_share_pct,delta_source_share,delta_source_share_pp
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-2,2018,OOPSLA,5.0,30.0,0.16666666666666666,16.666666666666664,0.16666666666666666,16.666666666666664,0.0,0.0
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,-1,2019,OOPSLA,8.0,31.0,0.25806451612903225,25.806451612903224,0.16666666666666666,16.666666666666664,0.0913978494623656,9.13978494623656
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,OOPSLA,20.0,37.0,0.5405405405405406,54.054054054054056,0.16666666666666666,16.666666666666664,0.37387387387387394,37.38738738738739
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,OOPSLA,10.0,36.0,0.2777777777777778,27.77777777777778,0.16666666666666666,16.666666666666664,0.11111111111111113,11.111111111111112
3,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,OOPSLA,0.0,17.0,0.0,0.0,0.16666666666666666,16.666666666666664,-0.16666666666666666,-16.666666666666664
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,PLDI,11.0,31.0,0.3548387096774194,35.483870967741936,0.3548387096774194,35.483870967741936,0.0,0.0
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,PLDI,7.0,37.0,0.1891891891891892,18.91891891891892,0.3548387096774194,35.483870967741936,-0.16564952048823017,-16.564952048823017
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,PLDI,18.0,36.0,0.5,50.0,0.3548387096774194,35.483870967741936,0.14516129032258063,14.516129032258062
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,PLDI,5.0,17.0,0.29411764705882354,29.411764705882355,0.3548387096774194,35.483870967741936,-0.060721062618595834,-6.072106261859584
4,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,PLDI,7.0,24.0,0.2916666666666667,29.166666666666668,0.3548387096774194,35.483870967741936,-0.06317204301075269,-6.317204301075269
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,ICFP,3.0,14.0,0.21428571428571427,21.428571428571427,0.21428571428571427,21.428571428571427,0.0,0.0
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,ICFP,2.0,13.0,0.15384615384615385,15.384615384615385,0.21428571428571427,21.428571428571427,-0.06043956043956042,-6.043956043956042
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,ICFP,8.0,21.0,0.38095238095238093,38.095238095238095,0.21428571428571427,21.428571428571427,0.16666666666666666,16.666666666666664
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,ICFP,1.0,26.0,0.038461538461538464,3.8461538461538463,0.21428571428571427,21.428571428571427,-0.1758241758241758,-17.58241758241758
5,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,ICFP,4.0,14.0,0.2857142857142857,28.57142857142857,0.21428571428571427,21.428571428571427,0.07142857142857142,7.142857142857142
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,ICFP,2.0,7.0,0.2857142857142857,28.57142857142857,0.2857142857142857,28.57142857142857,0.0,0.0
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,ICFP,3.0,12.0,0.25,25.0,0.2857142857142857,28.57142857142857,-0.0357142857142857,-3.57142857142857
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,ICFP,11.0,22.0,0.5,50.0,0.2857142857142857,28.57142857142857,0.2142857142857143,21.42857142857143
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,ICFP,0.0,13.0,0.0,0.0,0.2857142857142857,28.57142857142857,-0.2857142857142857,-28.57142857142857
6,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,ICFP,1.0,12.0,0.08333333333333333,8.333333333333332,0.2857142857142857,28.57142857142857,-0.20238095238095238,-20.238095238095237
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,ICFP,1.0,6.0,0.16666666666666666,16.666666666666664,0.16666666666666666,16.666666666666664,0.0,0.0
7,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,ICFP,5.0,8.0,0.625,62.5,0.16666666666666666,16.666666666666664,0.45833333333333337,45.833333333333336
