selection_rank,panel_order,line_order,researcher_id,name,conference,plot_conference,pc_year,selected_event_label,event_time,year,citation_count,log10_citations_plus_one,delta_log10_t_minus_2_reference,delta_raw_t_minus_2_reference,openalex_career_age_at_pc_year,google_scholar_career_age_at_pc_year
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,0,2020,20.0,1.3222192947339193,0.5440680443502757,15.0,27,17
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,1,2021,10.0,1.0413926851582251,0.2632414347745815,5.0,27,17
2,2,1,viktorkuncak,Viktor Kunčak,OOPSLA,OOPSLA,2020,OOPSLA 2020,2,2022,,,,,27,17
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-2,2019,11.0,1.0791812460476249,0.0,0.0,28,18
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,-1,2020,7.0,0.9030899869919435,-0.17609125905568135,-4.0,28,18
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,0,2021,18.0,1.2787536009528289,0.19957235490520397,7.0,28,18
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,1,2022,5.0,0.7781512503836436,-0.30102999566398125,-6.0,28,18
2,2,2,viktorkuncak,Viktor Kunčak,PLDI,PLDI,2021,PLDI 2021,2,2023,7.0,0.9030899869919435,-0.17609125905568135,-4.0,28,18
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-2,2021,3.0,0.6020599913279624,0.0,0.0,33,28
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,-1,2022,2.0,0.47712125471966244,-0.12493873660829996,-1.0,33,28
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,0,2023,8.0,0.9542425094393249,0.3521825181113625,5.0,33,28
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,1,2024,1.0,0.3010299956639812,-0.3010299956639812,-2.0,33,28
3,3,1,peterthiemann,Peter Thiemann,ICFP,ICFP,2023,ICFP 2023,2,2025,4.0,0.6989700043360189,0.09691001300805646,1.0,33,28
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-2,2021,2.0,0.47712125471966244,0.0,0.0,30,29
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,-1,2022,3.0,0.6020599913279624,0.12493873660829996,1.0,30,29
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,0,2023,11.0,1.0791812460476249,0.6020599913279625,9.0,30,29
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,1,2024,0.0,0.0,-0.47712125471966244,-2.0,30,29
4,4,1,simonjgay,Simon J. Gay,ICFP,ICFP,2023,ICFP 2023,2,2025,1.0,0.3010299956639812,-0.17609125905568124,-1.0,30,29
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,-2,2022,0.0,0.0,0.0,0.0,26,27
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,-1,2023,0.0,0.0,0.0,0.0,26,27
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,0,2024,8.0,0.9542425094393249,0.9542425094393249,8.0,26,27
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,1,2025,1.0,0.3010299956639812,0.3010299956639812,1.0,26,27
5,5,1,martinelsman,Martin Elsman,ICFP,ICFP,2024,ICFP 2024,2,2026,,,,,26,27
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-2,2017,1.0,0.3010299956639812,0.0,0.0,4,5
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,-1,2018,5.0,0.7781512503836436,0.47712125471966244,4.0,4,5
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,0,2019,7.0,0.9030899869919435,0.6020599913279623,6.0,4,5
6,6,1,ezgicicek,Ezgi Çiçek,ICFP,ICFP,2019,ICFP 2019,1,2020,2.0,0.47712125471966244,0.17609125905568124,1.0,4,5
