conference,year,url,final_url,status,cache_path,n_members,error
PLDI,2023,https://pldi23.hotcrp.com/users/pc,https://pldi2023.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2023_hotcrp_2026-06-19.html,114,
PLDI,2024,https://pldi24.hotcrp.com/users/pc,https://pldi2024.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2024_hotcrp_2026-06-19.html,139,
PLDI,2025,https://pldi25.hotcrp.com/users/pc,https://pldi25.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/hotcrp_htmls/pldi2025_hotcrp_2026-06-19.html,137,
POPL,2017,https://popl17.hotcrp.com/users/pc,https://popl17.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2017_hotcrp_2026-06-19.html,90,
POPL,2018,https://popl18.hotcrp.com/users/pc,https://popl18.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2018_hotcrp_2026-06-19.html,52,
POPL,2019,https://popl19.hotcrp.com/users/pc,https://popl19.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2019_hotcrp_2026-06-19.html,52,
POPL,2020,https://popl20.hotcrp.com/users/pc,https://popl20.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2020_hotcrp_2026-06-19.html,53,
POPL,2021,https://popl21.hotcrp.com/users/pc,https://popl21.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2021_hotcrp_2026-06-19.html,53,
POPL,2022,https://popl22.hotcrp.com/users/pc,https://popl22.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2022_hotcrp_2026-06-19.html,56,
POPL,2023,https://popl23.hotcrp.com/users/pc,https://popl23.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2023_hotcrp_2026-06-19.html,84,
POPL,2024,https://popl24.hotcrp.com/users/pc,https://popl24.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2024_hotcrp_2026-06-19.html,91,
POPL,2025,https://popl25.hotcrp.com/users/pc,https://popl2025.hotcrp.com/users/pc,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/hotcrp_htmls/popl2025_hotcrp_2026-06-19.html,83,
