conference,year,url,final_url,status,cache_path,n_members,error
PLDI,2025,https://pldi25.sigplan.org/committee/pldi-2025-papers-pldi-review-committee,https://pldi25.sigplan.org/committee/pldi-2025-papers-pldi-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_pc_htmls/pldi2025_pc_2026-06-19.html,137,
POPL,2017,https://popl17.sigplan.org/committee/popl-2017-papers-program-committee,https://popl17.sigplan.org/committee/popl-2017-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2017_pc_2026-06-19.html,29,
POPL,2018,https://popl18.sigplan.org/committee/popl-2018-papers-program-committee,https://popl18.sigplan.org/committee/popl-2018-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2018_pc_2026-06-19.html,52,
POPL,2019,https://popl19.sigplan.org/committee/popl-2019-research-papers-program-committee,https://popl19.sigplan.org/committee/popl-2019-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2019_pc_2026-06-19.html,52,
POPL,2020,https://popl20.sigplan.org/committee/popl-2020-papers-program-committee,https://popl20.sigplan.org/committee/popl-2020-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2020_pc_2026-06-19.html,54,
POPL,2021,https://popl21.sigplan.org/committee/POPL-2021-research-papers-program-committee,https://popl21.sigplan.org/committee/POPL-2021-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2021_pc_2026-06-19.html,52,
POPL,2022,https://popl22.sigplan.org/committee/POPL-2022-popl-research-papers-program-committee,https://popl22.sigplan.org/committee/POPL-2022-popl-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2022_pc_2026-06-19.html,56,
POPL,2023,https://popl23.sigplan.org/committee/POPL-2023-popl-research-papers-program-committee,https://popl23.sigplan.org/committee/POPL-2023-popl-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2023_pc_2026-06-19.html,84,
POPL,2024,https://popl24.sigplan.org/committee/POPL-2024-popl-research-papers-program-committee,https://popl24.sigplan.org/committee/POPL-2024-popl-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2024_pc_2026-06-19.html,91,
POPL,2025,https://popl25.sigplan.org/committee/POPL-2025-popl-research-papers-program-committee,https://popl25.sigplan.org/committee/POPL-2025-popl-research-papers-program-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_pc_htmls/popl2025_pc_2026-06-19.html,82,
