conference,year,committee_type,url,final_url,status,cache_path,n_members,error
PLDI,2018,ERC,https://pldi18.sigplan.org/committee/pldi-2018-external-review-committee,https://pldi18.sigplan.org/committee/pldi-2018-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_erc_htmls/pldi2018_erc_2026-06-19.html,52,
PLDI,2019,ERC,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-review-committee,https://pldi19.sigplan.org/committee/pldi-2019-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_erc_htmls/pldi2019_erc_2026-06-19.html,50,
PLDI,2020,ERC,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-review-committee,https://pldi20.sigplan.org/committee/pldi-2020-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/pldi/researchr_erc_htmls/pldi2020_erc_2026-06-19.html,52,
PLDI,2021,ERC,,,no_page,,0,
PLDI,2022,ERC,,,no_page,,0,
PLDI,2023,ERC,,,no_page,,0,
PLDI,2024,ERC,,,no_page,,0,
PLDI,2025,ERC,,,no_page,,0,
POPL,2017,ERC,https://popl17.sigplan.org/committee/popl-2017-papers-external-review-committee,https://popl17.sigplan.org/committee/popl-2017-papers-external-review-committee,fetched,/Users/endersari/2026-02-citations-vs-pc-memberships/step_1_data/raw/popl/researchr_erc_htmls/popl2017_erc_2026-06-19.html,59,
POPL,2018,ERC,,,no_page,,0,
POPL,2019,ERC,,,no_page,,0,
POPL,2020,ERC,,,no_page,,0,
POPL,2021,ERC,,,no_page,,0,
POPL,2022,ERC,,,no_page,,0,
POPL,2023,ERC,,,no_page,,0,
POPL,2024,ERC,,,no_page,,0,
POPL,2025,ERC,,,no_page,,0,
