referenced_work_id,fetch_status,has_work,n_authorships,publication_year
W137476671,fetched_singleton,True,1,1991.0
W137641731,fetched_singleton,True,3,2012.0
W137846029,fetched_singleton,True,1,2011.0
W138023329,fetched_singleton,True,2,1996.0
W13821285,fetched_singleton,True,2,2007.0
W138290785,fetched_singleton,True,2,2005.0
W138292667,fetched_singleton,True,1,2006.0
W138311957,fetched_singleton,True,2,2013.0
W138321218,fetched_singleton,True,1,2024.0
W138572108,fetched_singleton,True,4,2011.0
W138607541,fetched_singleton,True,1,2010.0
W138996927,fetched_singleton,True,1,1999.0
W139065648,fetched_singleton,True,2,2007.0
W139856780,fetched_singleton,True,4,2012.0
W140006867,fetched_singleton,True,1,1987.0
W14000814,fetched_singleton,True,2,2009.0
W140235344,fetched_singleton,True,5,2012.0
W140384553,fetched_singleton,True,2,1992.0
W1409372306,fetched_singleton,True,7,2014.0
W1409569118,fetched_singleton,True,1,2013.0
W1410173981,fetched_singleton,True,7,2015.0
W1412227046,fetched_singleton,True,5,2011.0
W1412424832,fetched_singleton,True,3,2013.0
W1412775481,fetched_singleton,True,3,2015.0
W1412780727,fetched_singleton,True,3,2013.0
W1413225879,fetched_singleton,True,1,1983.0
W14146387,fetched_singleton,True,3,2012.0
W141583583,fetched_singleton,True,2,2008.0
W1415938757,fetched_singleton,True,7,2014.0
W141765906,fetched_singleton,True,0,2007.0
W1419077817,fetched_singleton,True,9,2015.0
W14193191,fetched_singleton,True,1,2006.0
W141971178,fetched_singleton,True,1,2003.0
W142035240,fetched_singleton,True,2,2002.0
W1421378112,fetched_singleton,True,4,2014.0
W1421419986,fetched_singleton,True,2,2008.0
W142212369,fetched_singleton,True,6,2013.0
W1422898865,fetched_singleton,True,2,2015.0
W1424217719,fetched_singleton,True,2,2015.0
W1424350945,fetched_singleton,True,7,2014.0
W1424940833,fetched_singleton,True,4,2015.0
W142519030,fetched_singleton,True,3,2013.0
W1425731158,fetched_singleton,True,3,2015.0
W1425736675,fetched_singleton,True,4,2014.0
W1425767035,fetched_singleton,True,4,2015.0
W142612778,fetched_singleton,True,2,2012.0
W1426476981,fetched_singleton,True,1,1992.0
W1427174644,fetched_singleton,True,2,2013.0
W142727657,fetched_singleton,True,2,2014.0
W1427832936,fetched_singleton,True,3,2015.0
W142852063,fetched_singleton,True,1,1992.0
W142859362,fetched_singleton,True,21,2011.0
W1429241971,fetched_singleton,True,5,2015.0
W1429964360,fetched_singleton,True,2,2014.0
W143008620,fetched_singleton,True,4,2014.0
W143039783,fetched_singleton,True,5,2012.0
W1430872261,fetched_singleton,True,2,2015.0
W1431464475,fetched_singleton,True,3,2012.0
W1432573364,fetched_singleton,True,2,2014.0
W1433844459,fetched_singleton,True,2,2015.0
W143396352,fetched_singleton,True,1,2000.0
W1434079718,fetched_singleton,True,7,2014.0
W143490393,fetched_singleton,True,1,1992.0
W1434978938,fetched_singleton,True,2,2013.0
