canonical_researchr_id,pc_name,mapped_name_for_matching,query_source,candidate_rank,candidate_ref_author_name,manual_decision,manual_notes
gilbertlouisbernstein1,Gilbert Louis Bernstein,Gilbert Louis Bernstein,mapped_name,8,Arthur Bernstein,,
guilhemejaber,Guilhème Jaber,Guilhème Jaber,original_name,1,Guilhem Jaber,accept,
guilhemejaber,Guilhème Jaber,Guilhème Jaber,mapped_name,2,Guilhem Jaber,,
harryxu,Guoqing Harry Xu,Guoqing Harry Xu,original_name,1,Guoqing Xu,accept,
harryxu,Guoqing Harry Xu,Guoqing Harry Xu,mapped_name,2,Guoqing Xu,,
harryxu,Guoqing Harry Xu,Guoqing Harry Xu,original_name,3,Hongqiang Harry Liu,,
harryxu,Guoqing Harry Xu,Guoqing Harry Xu,mapped_name,4,Hongqiang Harry Liu,,
guylsteelejr,Guy L. Steele Jr.,Guy L. Steele Jr.,original_name,1,Jr. Guy L. Steele,acceptandmerge,
guylsteelejr,Guy L. Steele Jr.,Guy L. Steele Jr.,mapped_name,2,Jr. Guy L. Steele,,
guylsteelejr,Guy L. Steele Jr.,Guy L. Steele Jr.,original_name,3,Guy L. Steele,acceptandmerge,
guylsteelejr,Guy L. Steele Jr.,Guy L. Steele Jr.,mapped_name,4,Guy L. Steele,,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,original_name,1,Hans‐J. Boehm,acceptandmerge,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,mapped_name,2,Hans‐J. Boehm,,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,original_name,3,Hans J. Boehm,acceptandmerge,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,mapped_name,4,Hans J. Boehm,,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,original_name,5,Hans‐Juergen Boehm,acceptandmerge,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,mapped_name,6,Hans‐Juergen Boehm,,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,original_name,7,Matthias Böehm,,
hansjboehm,Hans-J. Boehm,Hans-J. Boehm,mapped_name,8,Matthias Böehm,,
harleydeadesiii,Harley D. Eades III,Harley D. Eades III,original_name,1,Harley Eades,accept,
harleydeadesiii,Harley D. Eades III,Harley D. Eades III,mapped_name,2,Harley Eades,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,mapped_name,1,Guoqing Xu,accept,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,2,Han Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,3,Hao Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,4,Haoran Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,5,Hanyang Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,6,Harry Li,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,7,Xu Han,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,mapped_name,8,Hongqiang Harry Liu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,9,Huanle Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,10,Hanwei Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,11,Chang Xu,,
guoqingharryxu,Harry Xu,Guoqing Harry Xu,original_name,12,Lihua Xu,,
hsiangshangko,Hsiang-Shang ‘Josh’ Ko,Hsiang-Shang ‘Josh’ Ko,original_name,1,Hsiang−Shang Ko,accept,
hsiangshangko,Hsiang-Shang ‘Josh’ Ko,Hsiang-Shang ‘Josh’ Ko,mapped_name,2,Hsiang−Shang Ko,,
jimlarus,James Larus,James Larus,original_name,1,James R. Larus,accept,
jimlarus,James Larus,James Larus,mapped_name,2,James R. Larus,,
jimlarus,James Larus,James Larus,original_name,3,James Clause,,
jimlarus,James Larus,James Larus,mapped_name,4,James Clause,,
jimlarus,James Larus,James Larus,original_name,5,James Glass,,
jimlarus,James Larus,James Larus,mapped_name,6,James Glass,,
jimlarus,James Larus,James Larus,original_name,7,James Law,,
jimlarus,James Larus,James Larus,mapped_name,8,James Law,,
jimlarus,James Larus,James Larus,original_name,9,James Clarkson,,
jimlarus,James Larus,James Larus,original_name,10,James Liu,,
jimlarus,James Larus,James Larus,mapped_name,11,James Clarkson,,
jimlarus,James Larus,James Larus,mapped_name,12,James Liu,,
jasminblanchette1,Jasmin Blanchette,Jasmin Blanchette,original_name,1,Jasmin Christian Blanchette,accept,
